Timestamp,HRV
0.0,876.0
0.876,848.0
1.724,836.0
2.56,848.0
3.408,864.0
4.272,860.0
5.132,844.0
5.976,840.0
6.816,864.0
7.68,880.0
8.56,868.0
9.428,852.0
10.28,856.0
11.136,864.0
12.0,868.0
12.868,848.0
13.716,840.0
14.556,844.0
15.4,860.0
16.26,860.0
17.12,848.0
17.968,848.0
18.816,868.0
19.684,876.0
20.56,868.0
21.428,856.0
22.284,856.0
23.14,864.0
24.004,860.0
24.864,844.0
25.708,836.0
26.544,848.0
27.392,860.0
28.252,860.0
29.112,852.0
29.964,860.0
30.824,872.0
31.696,872.0
32.568,864.0
33.432,852.0
34.284,852.0
35.136,852.0
35.988,852.0
36.84,848.0
37.688,852.0
38.54,852.0
39.392,856.0
40.248,864.0
41.112,872.0
41.984,868.0
42.852,856.0
43.708,852.0
44.56,860.0
45.42,860.0
46.28,844.0
47.124,836.0
47.96,844.0
48.804,872.0
49.676,876.0
50.552,860.0
51.412,848.0
52.26,868.0
53.128,880.0
54.008,856.0
54.864,832.0
55.696,828.0
56.524,856.0
57.38,872.0
58.252,852.0
59.104,844.0
59.948,864.0
60.812,884.0
61.696,884.0
62.58,852.0
63.432,840.0
64.272,848.0
65.12,856.0
65.976,852.0
66.828,836.0
67.664,844.0
68.508,864.0
69.372,876.0
70.248,876.0
71.124,864.0
71.988,860.0
72.848,856.0
73.704,856.0
74.56,844.0
75.404,840.0
76.244,840.0
77.084,856.0
77.94,868.0
78.808,872.0
79.68,868.0
80.548,864.0
81.412,860.0
82.272,860.0
83.132,848.0
83.98,844.0
84.824,840.0
85.664,856.0
86.52,860.0
87.38,864.0
88.244,864.0
89.108,864.0
89.972,864.0
90.836,856.0
91.692,852.0
92.544,848.0
93.392,852.0
94.244,860.0
95.104,856.0
95.96,856.0
96.816,868.0
97.684,864.0
98.548,856.0
99.404,848.0
100.252,848.0
101.1,860.0
101.96,860.0
102.82,848.0
103.668,852.0
104.52,868.0
105.388,880.0
106.268,856.0
107.124,844.0
107.968,848.0
108.816,864.0
109.68,860.0
110.54,840.0
111.38,840.0
112.22,868.0
113.088,880.0
113.968,864.0
114.832,840.0
115.672,852.0
116.524,876.0
117.4,872.0
