Timestamp,HRV
0.0,848.0
0.848,868.0
1.716,872.0
2.588,864.0
3.452,852.0
4.304,856.0
5.16,864.0
6.024,860.0
6.884,840.0
7.724,832.0
8.556,848.0
9.404,872.0
10.276,872.0
11.148,856.0
12.004,852.0
12.856,876.0
13.732,884.0
14.616,852.0
15.468,828.0
16.296,832.0
17.128,860.0
17.988,868.0
18.856,848.0
19.704,840.0
20.544,864.0
21.408,892.0
22.3,876.0
23.176,844.0
24.02,836.0
24.856,864.0
25.72,864.0
26.584,844.0
27.428,828.0
28.256,856.0
29.112,880.0
29.992,872.0
30.864,852.0
31.716,848.0
32.564,872.0
33.436,876.0
34.312,844.0
35.156,828.0
35.984,848.0
36.832,868.0
37.7,868.0
38.568,840.0
39.408,852.0
40.26,876.0
41.136,880.0
42.016,856.0
42.872,840.0
43.712,848.0
44.56,864.0
45.424,860.0
46.284,840.0
47.124,844.0
47.968,868.0
48.836,880.0
49.716,864.0
50.58,852.0
51.432,848.0
52.28,856.0
53.136,856.0
53.992,844.0
54.836,848.0
55.684,856.0
56.54,872.0
57.412,872.0
58.284,864.0
59.148,860.0
60.008,860.0
60.868,852.0
61.72,844.0
62.564,844.0
63.408,844.0
64.252,852.0
65.104,860.0
65.964,868.0
66.832,868.0
67.7,872.0
68.572,868.0
69.44,860.0
70.3,848.0
71.148,848.0
71.996,848.0
72.844,852.0
73.696,844.0
74.54,848.0
75.388,860.0
76.248,872.0
77.12,868.0
77.988,856.0
78.844,860.0
79.704,868.0
80.572,868.0
81.44,852.0
82.292,840.0
83.132,844.0
83.976,860.0
84.836,856.0
85.692,844.0
86.536,848.0
87.384,864.0
88.248,876.0
89.124,872.0
89.996,860.0
90.856,856.0
91.712,860.0
92.572,864.0
93.436,848.0
94.284,840.0
95.124,836.0
95.96,852.0
96.812,864.0
97.676,864.0
98.54,860.0
99.4,860.0
100.26,868.0
101.128,876.0
102.004,860.0
102.864,844.0
103.708,840.0
104.548,856.0
105.404,864.0
106.268,852.0
107.12,844.0
107.964,852.0
108.816,872.0
109.688,872.0
110.56,856.0
111.416,844.0
112.26,856.0
113.116,864.0
113.98,864.0
114.844,848.0
115.692,848.0
116.54,860.0
117.4,868.0
